sample_name,event_time,observations,authors,units,mean_citations,mean_expected_citations,mean_excess_citations,observed_expected_ratio,mean_smoothed_ratio,excess_se,excess_ci_low,excess_ci_high
at_risk,5,71072,10458,71072,0.7307378433138226,0.5529014961185715,0.17783634719525024,1.3216420075613498,1.2494914351801418,0.014357127331567606,0.14969637762537774,0.20597631676512274
at_risk,6,66574,9826,66574,0.6662060263766636,0.5287219638267341,0.13748406254992687,1.2600309273230494,1.2091162463590797,0.014887688152739284,0.10830419377055787,0.16666393132929586
at_risk,7,60618,9011,60618,0.66394470289353,0.5308791649957003,0.13306553789782624,1.250651271836798,1.1958193132609378,0.01632604547160809,0.10106648877347438,0.1650645870221781
at_risk,8,56886,8423,56886,0.6416868825370038,0.5194223661162213,0.12226451642078212,1.2353855443980357,1.2010330902896722,0.018776067075603715,0.08546342495259884,0.1590656078889654
at_risk,9,53076,7855,53076,0.6008742181023438,0.5074077211165685,0.09346649698577852,1.184203931268722,1.1691823247213569,0.017302012921821007,0.05955455165900935,0.1273784423125477
at_risk,10,49302,7316,49302,0.5349681554500831,0.4884629092893625,0.04650524616072646,1.0952073233735977,1.1166158556162693,0.01622450293756513,0.014705220403098802,0.07830527191835412
balanced_full_window,-10,14076,3667,14076,0.47549019607843135,0.39012913746387995,0.0853610586145521,1.218802059157795,1.160260024495347,0.020510285250691,0.04516089952319774,0.12556121770590645
balanced_full_window,-9,14076,3667,14076,0.5269963057686843,0.43870267527711376,0.08829363049157149,1.2012607523667331,1.1336025242986414,0.021058852813318877,0.04701827897746649,0.1295689820056765
balanced_full_window,-8,14076,3667,14076,0.5496589940323956,0.4707356943757005,0.07892329965669548,1.167659475581865,1.1007059399692047,0.02190221100762932,0.03599496608174201,0.12185163323164894
balanced_full_window,-7,14076,3667,14076,0.563796533105996,0.48871241468092574,0.07508411842507091,1.1536366095264672,1.0894876761315453,0.022272748025231607,0.031429532295616965,0.11873870455452487
balanced_full_window,-6,14076,3667,14076,0.5391446433645922,0.49935099402986466,0.03979364933472825,1.0796907381991665,1.0430528893219004,0.02183233937133865,-0.0029977358330955037,0.082585034502552
balanced_full_window,-5,14076,3667,14076,0.5206734867860188,0.5101121474656696,0.01056133932034877,1.0207039557336948,0.9833578325594301,0.019720562525342086,-0.028090963229321718,0.04921364187001926
balanced_full_window,-4,14076,3667,14076,0.5295538505257176,0.5193164705107883,0.010237380014929028,1.0197131818385423,1.0021565833346828,0.02393135384949577,-0.03666807353008268,0.05714283355994074
balanced_full_window,-3,14076,3667,14076,0.5353793691389599,0.5264286936971978,0.008950675441761686,1.0170026359674662,1.0165100816229913,0.0230242417821599,-0.03617683845127172,0.05407818933479509
balanced_full_window,-2,14076,3667,14076,0.51974992895709,0.5332496878682851,-0.013499758911195184,0.9746839815975111,0.970919202269663,0.022284771918027392,-0.05717791187052887,0.030178394048138504
balanced_full_window,-1,14076,3667,14076,0.4892014776925263,0.5346970578320828,-0.04549558013955567,0.9149133523868314,0.92848439099192,0.019962804787400514,-0.08462267752286068,-0.006368482756250668
balanced_full_window,0,14076,3667,14076,0.4816709292412617,0.5320765731069531,-0.05040564386569086,0.905266184580618,0.9295376630060674,0.022406706538623616,-0.09432278868139315,-0.006488499049988571
balanced_full_window,1,14076,3667,14076,0.46398124467178176,0.5292487778439038,-0.06526753317212186,0.8766789156547246,0.8981489030864975,0.019351282918982183,-0.10319604769332694,-0.027339018650916785
balanced_full_window,2,14076,3667,14076,0.46462063086104005,0.5272720059538127,-0.06265137509277366,0.881178263997841,0.90573576781653,0.02119067090137216,-0.10418509005946308,-0.02111766012608423
balanced_full_window,3,14076,3667,14076,0.44067917021881214,0.527386003127928,-0.0867068329091164,0.835591327045357,0.8686663130484766,0.02218800734808601,-0.130195327311365,-0.04321833850686783
balanced_full_window,4,14076,3667,14076,0.4520460358056266,0.5291192019757772,-0.07707316617015096,0.8543368566433562,0.8911103277276561,0.02198644964015115,-0.12016660746484721,-0.03397972487545471
balanced_full_window,5,14076,3667,14076,0.42206592782040353,0.529086317393524,-0.10702038957312013,0.7977260306024493,0.8544710924236626,0.02018699833917354,-0.14658690631790028,-0.06745387282833999
balanced_full_window,6,14076,3667,14076,0.4067917021881216,0.5197340790387139,-0.11294237685059198,0.7826919930679022,0.8359861380651966,0.0195783823009457,-0.15131600616044555,-0.07456874754073842
balanced_full_window,7,14076,3667,14076,0.3967036089798238,0.512680412287528,-0.11597680330770413,0.7737834320795923,0.8306955914883679,0.019370451321264658,-0.15394288789738286,-0.0780107187180254
balanced_full_window,8,14076,3667,14076,0.3901676612674055,0.5049892475101918,-0.11482158624278653,0.7726256810240917,0.8415710053095787,0.01763845398295628,-0.14939295604938085,-0.08025021643619222
balanced_full_window,9,14076,3667,14076,0.37951122477976695,0.49023905360124254,-0.1107278288214761,0.7741350306384589,0.8339972713554393,0.01933629448170965,-0.14862696600562703,-0.07282869163732518
balanced_full_window,10,14076,3667,14076,0.34050866723500994,0.4485801168598402,-0.10807144962483031,0.7590810524965881,0.8339400210412814,0.017798399064384643,-0.14295631179102422,-0.0731865874586364
